Batch,ETs,ENs,ETq,ENq,Rho
0,0.00000,0.00000,0.00000,0.00000,0.00000
1,25.47351,29.26225,0.00000,0.24859,0.43718
2,24.45252,28.70404,0.00000,0.67775,0.43179
3,24.17807,28.83026,0.00000,0.69555,0.42760
4,24.05817,29.13374,0.00000,0.59144,0.43205
5,24.07805,29.26075,0.00000,0.55432,0.43035
6,23.87072,29.06433,0.00000,0.58726,0.42865
7,23.95441,28.95268,0.00000,0.58188,0.42654
8,23.94481,28.80059,0.00000,0.53661,0.42310
9,24.03049,28.96418,0.00000,0.54421,0.42202
10,24.01383,28.92630,0.00000,0.53829,0.42225
11,24.11821,29.11312,0.00000,0.55373,0.42093
12,24.07465,29.02153,0.00000,0.51845,0.42140
13,24.14711,29.11618,0.00000,0.53794,0.42067
14,24.12403,29.11227,0.00000,0.53546,0.42028
15,24.15751,29.22099,0.00000,0.53145,0.42123
16,24.10913,29.25136,0.00000,0.49928,0.42229
17,24.09988,29.18226,0.00000,0.47881,0.42074
18,24.08096,29.16043,0.00000,0.46077,0.42036
19,24.08264,29.08778,0.00000,0.47159,0.41977
20,24.01386,29.04480,0.00000,0.46383,0.41996
21,24.04721,29.05084,0.00000,0.45900,0.41951
22,24.03764,29.05764,0.00000,0.46291,0.41958
23,24.07696,28.93110,0.00000,0.46662,0.41796
24,24.07426,28.95832,0.00000,0.46438,0.41792
25,24.08220,28.99721,0.00000,0.52167,0.41849
26,24.06501,28.91652,0.00000,0.52153,0.41794
27,24.07501,28.93344,0.00000,0.54601,0.41777
28,24.08554,28.93272,0.00000,0.53978,0.41820
29,24.09356,28.96364,0.00000,0.54577,0.41841
30,24.07542,28.99265,0.00000,0.53592,0.41903
31,24.07147,28.95921,0.00000,0.52062,0.41817
32,24.10067,28.98546,0.00000,0.52338,0.41829
33,24.08916,28.93518,0.00000,0.51856,0.41791
34,24.08636,28.90937,0.00000,0.52861,0.41776
35,24.06995,28.91249,0.00000,0.53049,0.41816
36,24.07710,28.98370,0.00000,0.52567,0.41918
37,24.04523,28.98386,0.00000,0.51934,0.41926
38,24.05837,29.05970,0.00000,0.53285,0.42045
39,24.06301,29.07165,0.00000,0.52363,0.42008
40,24.08651,29.06492,0.00000,0.52075,0.41955
41,24.07710,29.04952,0.00000,0.51403,0.41951
42,24.06408,29.04878,0.00000,0.51347,0.41958
43,24.05180,28.97665,0.00000,0.50854,0.41865
44,24.08024,28.95870,0.00000,0.50991,0.41802
45,24.09151,28.99738,0.00000,0.52750,0.41810
46,24.08320,28.99826,0.00000,0.52159,0.41825
47,24.06983,28.96854,0.00000,0.51383,0.41794
48,24.07992,29.00759,0.00000,0.50884,0.41860
49,24.06654,29.00277,0.00000,0.50376,0.41871
50,24.06819,29.03640,0.00000,0.50254,0.41910
51,24.06538,28.94507,0.00000,0.49518,0.41781
52,24.05651,28.92626,0.00000,0.50069,0.41738
53,24.08053,28.95909,0.00000,0.49905,0.41759
54,24.08815,28.93429,0.00000,0.49798,0.41690
55,24.07812,28.90503,0.00000,0.50543,0.41659
56,24.07587,28.92052,0.00000,0.50055,0.41699
57,24.06569,28.89143,0.00000,0.49248,0.41681
58,24.07500,28.90091,0.00000,0.49075,0.41692
59,24.06940,28.91028,0.00000,0.48854,0.41705
60,24.09170,28.93294,0.00000,0.48383,0.41719
61,24.07791,28.92650,0.00000,0.48320,0.41717
62,24.08211,28.95013,0.00000,0.48694,0.41749
63,24.07924,28.93931,0.00000,0.48286,0.41760
64,24.06443,28.90592,0.00000,0.47983,0.41713
